0000.064753 0000050D 8 0E 00 80 00 00 00 00 80
0000.064999 00000510 8 47 D0 10 08 18 00 00 53
0000.065255 00000551 8 00 00 00 80 FF 00 00 00
0000.065439 00000002 5 A8 FF 00 07 C9   
0000.065700 00000580 8 00 00 00 00 00 00 00 00
0000.065946 000005A9 8 76 09 40 12 C3 A0 00 00
0000.066181 000005B3 8 50 AA 2D 14 A0 40 E7 8A
0000.066432 0000055B 8 3E C0 AA 00 E2 80 10 62
0000.066637 00000215 6 FF F0 FF 00 FF FF  
0000.066873 000005BC 8 10 00 E7 50 AB 40 1F FF
0000.067001 00000216 2 42 64      
0000.068096 00000559 3 48 00 00     
0000.069381 000001CF 8 FF 32 FF FE 08 00 2B 31
0000.069648 00000245 8 7F E8 02 18 00 00 7F E1
0000.069842 00000292 8 80 B7 F1 7F D0 00 14 01
0000.070815 000005C5 8 40 02 4A 56 00 0C 00 00
0000.071056 000001C6 8 7F FF FF FE 72 29 00 DD
0000.071281 000001CB 7 00 00 00 00 10 00 46 
0000.071527 000002DE 8 00 00 00 00 00 00 01 28
0000.072433 00000300 1 00       
0000.073626 00000174 8 00 00 00 AA 00 00 00 00
0000.073856 00000176 7 00 00 00 00 00 00 00 
0000.074117 00000180 8 00 00 00 00 00 00 20 00
0000.074307 000001D5 5 00 00 00 00 D6   
0000.075341 00000002 5 A8 FF 00 07 FA   
0000.076329 0000059E 8 10 64 14 B1 80 00 00 00
0000.076565 0000054A 8 9E 80 70 06 24 00 00 29
0000.076810 0000054B 8 10 49 A0 12 14 00 00 00
0000.077502 000005C0 8 40 5A 5A FF 6D 18 0D 00
0000.079340 000001CF 8 FF 32 FF FE 08 00 28 2E
0000.079586 00000284 8 00 00 00 00 00 00 3D C3
0000.079831 00000285 8 00 00 00 00 00 00 3D C4
0000.080016 00000286 5 00 40 84 36 00   
0000.080860 00000280 8 03 00 00 00 00 00 00 00
0000.081040 000001C6 8 7F FF FF FE 72 29 01 DE
0000.081260 000001CB 7 00 00 00 00 10 01 C3 
0000.081506 000002DE 8 00 00 00 00 00 00 01 28
0000.081910 00000390 8 04 00 00 03 00 80 00 C7
0000.083600 00000174 8 00 00 00 AA 01 00 00 00
0000.083840 00000176 7 00 00 00 00 00 00 01 
0000.084101 00000180 8 00 00 00 00 00 00 21 00
0000.084291 000001D5 5 00 00 00 01 D7   
0000.084465 00000260 4 90 C8 7D 00    
0000.085330 00000002 5 A8 FF 00 07 EB   
0000.086451 00000215 6 FF F0 FF 00 FF FF  
0000.086707 00000216 2 42 64      
0000.087020 00000625 6 02 60 FF 1D 20 00  
0000.089344 000001CF 8 FF 32 FF FE 08 00 29 2F
0000.089580 00000245 8 7F E8 02 18 00 00 7F E2
0000.089820 00000292 8 80 97 F1 7F E0 00 14 02
0000.090071 00000354 8 00 00 00 00 00 18 04 00
0000.090803 000002DE 8 00 00 00 00 00 00 01 28
0000.091044 000001C6 8 7F FF FF FE 72 29 02 DF
0000.091264 000001CB 7 00 00 00 00 10 02 C9 
0000.092426 00000300 1 00       
0000.093614 00000174 8 00 00 00 AA 02 00 00 00
0000.093850 00000176 7 00 00 00 00 00 00 02 
0000.094111 00000180 8 00 00 00 00 00 00 22 00
0000.094316 000001D5 5 00 00 00 02 D8   
0000.095335 00000002 5 A8 FF 00 07 9C   
0000.099308 000001CF 8 FF 32 FF FE 08 00 2A 30
0000.099548 00000284 8 00 00 00 00 00 00 3E C4
0000.099794 00000285 8 00 00 00 00 00 00 3E C5
0000.099978 00000286 5 00 80 84 36 00   
0000.100828 00000280 8 03 00 00 00 00 00 00 00
0000.101069 000001C6 8 7F FF FF FE 72 29 03 E0
0000.101294 000001CB 7 00 00 00 00 10 03 4C 
0000.101540 000002DE 8 00 00 00 00 00 00 01 28
0000.101791 00000355 8 00 00 00 00 00 00 40 00
0000.103573 00000174 8 00 00 00 AA 03 00 00 00
0000.103818 00000176 7 00 00 00 00 00 00 03 
0000.104080 00000180 8 00 00 00 00 00 00 23 00
0000.104279 000001D5 5 00 00 00 03 D9   
0000.104453 00000260 4 90 C8 7D 00    
0000.104612 00000421 3 08 00 00     
0000.105395 00000002 5 A8 FF 00 07 8D   
0000.106460 00000215 6 FF F0 FF 00 FF FF  
0000.106773 00000216 2 42 64      
0000.109317 000001CF 8 FF 32 FF FE 08 00 2B 31
0000.109553 00000245 8 7F E8 02 18 00 00 7F E3
