0000.275824 000001D4 8 F7 07 00 00 87 46 00 70
0000.276044 000001F2 8 10 64 00 00 00 1E 02 0E
0000.276290 00000284 8 00 00 00 00 00 00 E2 68
0000.276490 0000050B 6 00 00 06 C0 00 60  
0000.279961 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.280207 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.281180 0000011A 8 01 40 00 55 00 00 01 15
0000.284416 000001DA 8 BC 64 18 00 00 01 03 D3
0000.286018 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.286264 000001F2 8 10 64 00 00 00 1E 03 0F
0000.289966 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.290222 000001DC 8 3D 81 9F FD 01 09 05 40
0000.291133 0000011A 8 01 40 00 55 40 00 02 D8
0000.294415 000001DA 8 BC 64 18 00 00 01 00 D9
0000.294651 0000055A 8 00 30 2F 00 5F 30 5B 68
0000.296279 000001D4 8 F7 07 00 00 07 46 00 7B
0000.296519 000001F2 8 10 64 00 00 00 1E 00 0C
0000.296760 00000284 8 00 00 00 00 00 00 E3 69
0000.299970 000001DB 8 FD 60 BB 6A 00 00 02 11
0000.300221 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.301179 0000011A 8 01 40 00 AA 80 00 03 CE
0000.304414 000001DA 8 BD 64 18 00 00 01 01 5B
0000.306488 000001D4 8 F7 07 00 00 47 46 00 BC
0000.306734 000001F2 8 10 64 00 00 00 1E 01 0D
0000.310144 000001DB 8 FD 60 BB 6A 00 00 03 94
0000.310379 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.310625 0000011A 8 01 40 00 AA C0 00 00 03
0000.310855 0000055B 8 8E C0 55 00 E1 C0 11 AF
0000.314414 000001DA 8 BC 64 18 00 00 01 02 56
0000.314649 0000054A 8 10 00 70 06 24 00 00 2B
0000.315515 0000054B 8 00 48 98 12 1C 00 00 00
0000.316518 0000054C 8 72 66 40 00 00 60 56 00
0000.316815 000001D4 8 F7 07 00 00 87 46 00 70
0000.317061 000001F2 8 10 64 00 00 00 1E 02 0E
0000.317312 00000284 8 00 00 00 00 00 00 E4 6A
0000.317547 0000054F 8 2F 01 00 00 07 8F 8C 50
0000.317721 000005B9 5 60 96 61 2C 28   
0000.319969 000001DB 8 FD 60 BB 6A 00 00 00 9E
0000.320204 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.321188 0000011A 8 01 40 00 55 00 00 01 15
0000.324408 000001DA 8 BC 64 18 00 00 01 03 D3
0000.327065 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.327301 000001F2 8 10 64 00 00 00 1E 03 0F
0000.329963 000001DB 8 FD 60 BB 6A 00 00 01 1B
0000.330204 000001DC 8 3D 81 9F FD 01 09 05 40
